symbol,expected_days,actual_days,coverage_pct,gap_count,zero_volume_days,ohlc_errors,date_range,is_sufficient
RELIANCE,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
TCS,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
HDFCBANK,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ICICIBANK,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
INFY,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
HINDUNILVR,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ITC,735,762,103.67,42,4,0,2023-07-21 to 2026-08-18,True
SBIN,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
BHARTIARTL,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
KOTAKBANK,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
LT,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
AXISBANK,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
BAJFINANCE,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ASIANPAINT,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
MARUTI,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
SUNPHARMA,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
TITAN,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ULTRACEMCO,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
NESTLEIND,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
WIPRO,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ONGC,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
POWERGRID,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
NTPC,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
COALINDIA,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ADANIENT,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
ADANIPORTS,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
JSWSTEEL,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
HINDALCO,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
TATASTEEL,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
BAJAJFINSV,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
TECHM,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
GRASIM,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
DRREDDY,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
CIPLA,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
DIVISLAB,735,761,103.54,43,4,0,2023-07-21 to 2026-08-18,True
EICHERMOT,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
HEROMOTOCO,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
BAJAJ-AUTO,735,762,103.67,42,6,0,2023-07-21 to 2026-08-18,True
BPCL,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
TATACONSUM,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
APOLLOHOSP,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
INDUSINDBK,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
SBILIFE,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
HDFCLIFE,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
BRITANNIA,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
M&M,735,762,103.67,42,6,0,2023-07-21 to 2026-08-18,True
UPL,735,762,103.67,42,5,0,2023-07-21 to 2026-08-18,True
